,height_in_cm,pac,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,interceptions,heading_accuracy,def_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,weight_in_kg,is_CAM
ball_control,-0.28953816696335477,0.3550694794350065,0.38780418528127886,0.3013876678230512,0.7267242653185919,0.6573895222744395,0.6580464804988367,0.6955836183346681,0.6249558329398891,0.5401614997185635,0.7999914512018662,0.6596632372959506,0.607447538408802,0.8060493957585955,0.5949830775159568,0.7166683553377665,0.8790016385458872,0.5557957503972801,0.4622114661829823,0.6855067271585334,1.0,0.7207726843999392,-0.03799887932461417,0.008499452324744049,-0.052032461319831885,-0.06751880874234678,-0.09922775284607065,0.1086183942571973,0.37040724939456876,-0.12262461542676611,0.08041068046925277,-0.2204577902722525,0.14873783079230238
composure,-0.07620009999597264,0.08599552244031174,0.09126758009322958,0.07514366477340156,0.4837904820543661,0.43294565588275624,0.5730328254597442,0.5131693319027405,0.47386749864164396,0.4202672159594658,0.6489526236053447,0.45634409534179077,0.4769153737487881,0.7472463248489415,0.6234836270931275,0.5435511886678984,0.5777811809068397,0.2744905927455009,0.22215706368987706,0.7776251485138794,0.7207726843999392,1.0,0.18606909509465244,0.275743645142793,0.1968067976116543,0.15037305804222306,0.11279963835896949,0.30128884477121526,0.3777236116252584,0.18517575947402753,0.35188703912596636,0.023904051318348576,0.08248185238715255
interceptions,0.1203399177934709,-0.2806953565917237,-0.2862827574640654,-0.25501695561336846,-0.38476691318792605,-0.5405351824599575,-0.25295669638471174,-0.3226931555623619,-0.46727429815848776,-0.4641174646513844,-0.05392236215554864,0.08642503408877307,-0.1306125172472935,0.3317589540071196,0.5114720505120812,-0.11477381491333566,-0.19749250520782288,-0.24218610891922526,-0.1524739988667182,0.28972893913984404,-0.03799887932461417,0.18606909509465244,1.0,0.20643569341722856,0.9455722534382632,0.954362232925753,0.9458228761357899,0.12632502111613506,0.2879158680446115,0.2446275526021866,0.6328410420231204,0.10772640699213486,-0.11163427088546045
heading_accuracy,0.5039656106349298,-0.28351351655412843,-0.37096402815487334,-0.19063330149552438,-0.11494927739036707,-0.08292856903176385,0.10141033916796359,-0.09389447984859105,-0.025912498892742226,0.027218453798006224,-0.14310756195459964,-0.24253602154116208,-0.18959697890412056,0.13845985957604,0.054489527047336374,-0.21239431514552984,-0.18679097548720386,-0.4400589905288808,-0.4798312006860814,0.38623896913233885,0.008499452324744049,0.275743645142793,0.20643569341722856,1.0,0.24285475829120373,0.19856667490376237,0.188907798716265,0.8076836574493664,0.08841304210203486,0.6944464890340527,0.46259667316789915,0.5466517232059928,-0.19456541087788004
def_awareness,0.1467701412193654,-0.2949645474686676,-0.3085332904962084,-0.26168581741264807,-0.4093552792839677,-0.5569696012207211,-0.25852793714475714,-0.3469441411492176,-0.4793810067791497,-0.47024248043961026,-0.08095010904455917,0.06530097815152089,-0.15441754749361178,0.320989643957936,0.4919551289732124,-0.1356729712864473,-0.22002740323864045,-0.26761867988613197,-0.18009053658135754,0.2947847616286592,-0.052032461319831885,0.1968067976116543,0.9455722534382632,0.24285475829120373,1.0,0.9418239726239183,0.9393146099023978,0.15644351906008847,0.2776065145498321,0.2774786323228944,0.6339392890781292,0.14228810362019653,-0.11665391825444177
standing_tackle,0.1343973341318594,-0.27665638178279683,-0.2886679461871744,-0.2457617024286815,-0.41644435204118546,-0.5699570454780422,-0.28416155551755884,-0.35935482114301953,-0.5005954625321364,-0.4944220719352894,-0.09032268157905966,0.06596810786348102,-0.16304907413521869,0.30200809523484407,0.48434291676595614,-0.14444034980620193,-0.22017277073083596,-0.26521441827438036,-0.16907548418849405,0.25234308666398186,-0.06751880874234678,0.15037305804222306,0.954362232925753,0.19856667490376237,0.9418239726239183,1.0,0.9764454327425917,0.11504826756005551,0.2604971940983983,0.23825044800712994,0.6293053585072608,0.11647623512135916,-0.10299650331321696
sliding_tackle,0.1260852445072971,-0.26889735946906773,-0.27977336930693575,-0.2396222530514585,-0.44227309657256564,-0.5999704438104131,-0.3156706971056995,-0.38998134622652614,-0.5306404842407936,-0.5231658463981274,-0.12497680845759457,0.05770980956881353,-0.18724750933923964,0.2678083739272678,0.4590730049855152,-0.16666861542691264,-0.24219054132073692,-0.26776409057635003,-0.1678365767580375,0.21741379536057687,-0.09922775284607065,0.11279963835896949,0.9458228761357899,0.188907798716265,0.9393146099023978,0.9764454327425917,1.0,0.10452639230054693,0.24291010339893357,0.22168494988733026,0.6100757067426008,0.10248337115613734,-0.10811353706811712
jumping,0.41772254061879577,0.10000692939317112,0.017695416244383335,0.16010487289668277,0.027662659826249658,0.034156472971139926,0.19063641752469143,0.015103755299209631,0.06305893888356369,0.07537767323735164,-0.06201237713099549,-0.09551597188842427,-0.11563569942579105,0.1503680428213624,0.029697196829045182,-0.08428159682649485,-0.016038609981567087,-0.179722324321961,-0.30138423997522096,0.40736861202605784,0.1086183942571973,0.30128884477121526,0.12632502111613506,0.8076836574493664,0.15644351906008847,0.11504826756005551,0.10452639230054693,1.0,0.29914288044126847,0.802034802898473,0.44458315116397906,0.5129439214280492,-0.2318641573666128
stamina,-0.11353799266710328,0.2688129960135319,0.2697982037268946,0.2475558871952345,0.2883884043949272,0.18075229930047676,0.2546169908679229,0.26125639224188835,0.16327314844089746,0.10352941541078624,0.3435565837260782,0.3543179780199899,0.24202409510567036,0.41550669402867807,0.37377384364709604,0.3052483873585238,0.32812668482055884,0.2935620688834406,0.24163910784589523,0.43364696133820735,0.37040724939456876,0.3777236116252584,0.2879158680446115,0.08841304210203486,0.2776065145498321,0.2604971940983983,0.24291010339893357,0.29914288044126847,1.0,0.1784863110546701,0.33911150370913623,-0.06160760012837705,-0.03401623717300273
strength,0.6035764658608038,-0.3111107513176545,-0.40715718542102347,-0.20872668305575814,-0.20467639852031302,-0.17419740815790374,0.049504285406043326,-0.1516571691277283,-0.12760904055559774,-0.07961383183308601,-0.2137434803618436,-0.29919650695281563,-0.22283962248761285,0.026234015361749304,0.008387122245889831,-0.2687071131203875,-0.2777041162459491,-0.5071006866876208,-0.5767028251792654,0.24644278085514182,-0.12262461542676611,0.18517575947402753,0.2446275526021866,0.6944464890340527,0.2774786323228944,0.23825044800712994,0.22168494988733026,0.802034802898473,0.1784863110546701,1.0,0.5135549335258,0.7245749247951561,-0.22764351019100787
aggression,0.20422212688558006,-0.22597618202249375,-0.2612470684019174,-0.18056796834220903,-0.1299431506460864,-0.2308129886352883,0.04849855518356008,-0.09055128401668174,-0.16266539978803407,-0.1733307700982382,0.028817354998031737,0.02764706732391311,-0.04955472767305857,0.3238366997017798,0.3835857376091069,-0.04026129266304172,-0.07839427683746442,-0.22725663731519136,-0.19032286889915165,0.4245139335827497,0.08041068046925277,0.35188703912596636,0.6328410420231204,0.46259667316789915,0.6339392890781292,0.6293053585072608,0.6100757067426008,0.44458315116397906,0.33911150370913623,0.5135549335258,1.0,0.294033932508113,-0.1468131597891596
weight_in_kg,0.6518850352518419,-0.37557315182586076,-0.458845620419697,-0.2799136817540455,-0.2619595083425344,-0.18712035619071604,-0.021530176281564308,-0.19673920747180842,-0.13942647792978455,-0.08488809523630055,-0.2774032914432664,-0.3633550571484762,-0.2465101603548768,-0.1036412910597614,-0.10702816018870284,-0.3074323369431281,-0.3334280864524084,-0.5605955108381496,-0.6478287177091525,0.06373905745035775,-0.2204577902722525,0.023904051318348576,0.10772640699213486,0.5466517232059928,0.14228810362019653,0.11647623512135916,0.10248337115613734,0.5129439214280492,-0.06160760012837705,0.7245749247951561,0.294033932508113,1.0,-0.15957990641202816
is_CAM,-0.15082495999119747,0.01487038198851815,0.05360970399104877,-0.01738414276172944,0.15055214421992058,0.1737033655152924,0.10468335310112573,0.16718203346020707,0.16831706313800598,0.1482829258828819,0.21227041761065626,0.130712694290415,0.22183354927565635,0.13965745391504011,0.15180812433941335,0.18865829571384,0.16559641263873223,0.15667506932825828,0.1597322733135246,0.01265052386387832,0.14873783079230238,0.08248185238715255,-0.11163427088546045,-0.19456541087788004,-0.11665391825444177,-0.10299650331321696,-0.10811353706811712,-0.2318641573666128,-0.03401623717300273,-0.22764351019100787,-0.1468131597891596,-0.15957990641202816,1.0
